iter	Passed	Remaining
944	9094	529
945	9103	519
946	9113	510
947	9123	500
948	9132	490
949	9142	481
950	9152	471
951	9162	461
952	9171	452
953	9181	442
954	9190	433
955	9200	423
956	9209	413
957	9218	404
958	9228	394
959	9238	384
960	9247	375
961	9257	365
962	9266	356
963	9275	346
964	9285	336
965	9294	327
966	9304	317
967	9313	307
968	9322	298
969	9332	288
970	9341	279
971	9351	269
972	9360	259
973	9370	250
974	9380	240
975	9391	230
976	9401	221
977	9411	211
978	9420	202
979	9431	192
980	9440	182
981	9451	173
982	9459	163
983	9469	153
984	9478	144
985	9488	134
986	9498	125
987	9506	115
988	9517	105
989	9527	96
990	9537	86
991	9546	76
992	9556	67
993	9564	57
994	9574	48
995	9584	38
996	9593	28
997	9602	19
998	9612	9
999	9622	0
